City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Lake City,US,2022-10-16 23:53:49,30.1897,-82.6393,74.62,64,0,0.0
158,Surt,LY,2022-10-16 23:53:50,31.2089,16.5887,72.9,61,81,10.47
159,Faanui,PF,2022-10-16 23:53:50,-16.4833,-151.75,78.73,69,7,13.47
160,Guangyuan,CN,2022-10-16 23:53:51,32.442,105.823,58.24,67,100,4.47
161,Waspan,NI,2022-10-16 23:53:51,14.7419,-83.9717,76.86,92,100,4.12
162,Cabo San Lucas,MX,2022-10-16 23:53:52,22.8909,-109.9124,84.18,66,13,6.87
163,New Norfolk,AU,2022-10-16 23:53:52,-42.7826,147.0587,57.7,51,85,3.0
164,Inhambane,MZ,2022-10-16 23:53:53,-23.865,35.3833,71.62,85,99,1.59
165,Pontianak,ID,2022-10-16 23:50:09,-0.0333,109.3333,75.18,100,40,2.3
166,Hofn,IS,2022-10-16 23:53:53,64.2539,-15.2082,42.24,81,6,17.43
167,Broome,US,2022-10-16 23:53:54,42.2506,-75.833,53.67,71,33,1.01
168,Maposeni,TZ,2022-10-16 23:53:54,-10.5833,35.4,62.55,55,1,2.53
169,Camacha,PT,2022-10-16 23:53:55,33.0833,-16.3333,65.62,77,20,2.3
170,Faya,SA,2022-10-16 23:53:55,18.3851,42.4509,59.52,34,4,5.1
171,Magnitogorsk,RU,2022-10-16 23:53:55,53.4186,59.0472,32.83,86,75,6.71
172,Taoudenni,ML,2022-10-16 23:53:56,22.6783,-3.9836,90.34,13,99,12.28
173,Aklavik,CA,2022-10-16 23:53:56,68.2191,-135.0107,26.65,82,100,10.29
174,Maceio,BR,2022-10-16 23:53:57,-9.6658,-35.7353,78.24,83,20,6.91
175,Korla,CN,2022-10-16 23:53:57,41.7597,86.1469,51.96,27,0,2.01
176,Saint-Philippe,RE,2022-10-16 23:53:57,-21.3585,55.7679,67.59,82,25,7.29
177,Severo-Kurilsk,RU,2022-10-16 23:53:58,50.6789,156.125,47.77,80,100,13.0
178,Rudbar,AF,2022-10-16 23:53:58,30.15,62.6,68.74,25,0,7.9
179,Khandbari,NP,2022-10-16 23:53:59,27.3747,87.2039,60.53,51,0,4.74
180,Khasan,RU,2022-10-16 23:53:59,42.4308,130.6434,46.6,51,42,19.15
181,Tuatapere,NZ,2022-10-16 23:54:00,-46.1333,167.6833,57.09,45,80,3.76
182,Mitu,CO,2022-10-16 23:54:00,1.1983,-70.1733,70.83,100,100,1.48
183,Methoni,GR,2022-10-16 23:54:01,36.8197,21.7049,60.66,55,3,4.88
184,Hongjiang,CN,2022-10-16 23:54:01,27.11,109.9956,64.67,59,9,4.54
185,Mehamn,NO,2022-10-16 23:55:01,71.0357,27.8492,44.55,81,100,5.75
186,Naryan-Mar,RU,2022-10-16 23:55:02,67.6713,53.087,39.02,94,89,9.46
187,Dariba,IN,2022-10-16 23:55:02,24.95,74.1333,65.86,53,6,1.66
188,Sabang,ID,2022-10-16 23:55:03,5.8933,95.3214,81.23,76,100,19.82
189,Bulungu,CD,2022-10-16 23:55:03,-4.55,18.6,69.53,98,99,0.69
190,Luderitz,NA,2022-10-16 23:55:03,-26.6481,15.1594,58.77,88,0,9.1
191,Georgetown,MY,2022-10-16 23:52:30,5.4112,100.3354,78.24,90,20,3.44
192,Saint George,US,2022-10-16 23:53:22,37.1041,-113.5841,79.39,21,0,3.44
193,Necochea,AR,2022-10-16 23:50:08,-38.5473,-58.7368,49.32,77,56,10.85
194,Maniitsoq,GL,2022-10-16 23:55:04,65.4167,-52.9,38.68,63,100,15.32
195,Hobyo,SO,2022-10-16 23:55:05,5.3505,48.5268,77.54,87,33,14.52
196,Cherskiy,RU,2022-10-16 23:55:05,68.75,161.3,4.41,94,85,6.46
197,Daru,PG,2022-10-16 23:55:06,-9.0763,143.2092,83.77,77,94,14.41
198,Maun,BW,2022-10-16 23:55:06,-19.9833,23.4167,73.6,23,99,3.47
199,Velyka Bahachka,UA,2022-10-16 23:55:07,49.7912,33.7226,39.87,72,33,4.97
200,Olinda,BR,2022-10-16 23:55:07,-8.0089,-34.8553,78.53,73,40,9.22
201,Hamilton,US,2022-10-16 23:53:34,39.1834,-84.5333,65.43,48,9,1.99
202,Los Llanos De Aridane,ES,2022-10-16 23:55:07,28.6585,-17.9182,65.95,82,0,8.01
203,Ilulissat,GL,2022-10-16 23:55:08,69.2167,-51.1,34.99,81,100,5.37
204,Cabedelo,BR,2022-10-16 23:55:08,-6.9811,-34.8339,77.67,81,24,10.67
205,Baykit,RU,2022-10-16 23:55:09,61.67,96.37,29.64,79,100,2.91
206,Saint Anthony,US,2022-10-16 23:55:09,45.0205,-93.218,42.85,55,100,20.71
207,Vostok,RU,2022-10-16 23:55:10,46.4856,135.8833,35.37,65,65,7.18
208,Mlimba,TZ,2022-10-16 23:55:10,-8.8,35.8167,71.67,74,35,7.34
209,Nagato,JP,2022-10-16 23:55:10,34.3833,131.2,70.61,69,41,8.59
210,Naze,JP,2022-10-16 23:55:11,28.3667,129.4833,77.92,82,97,3.2
211,Sioux Lookout,CA,2022-10-16 23:53:25,50.1001,-91.917,28.47,86,100,13.8
212,Clyde River,CA,2022-10-16 23:55:12,70.4692,-68.5914,32.23,93,100,13.8
213,Binga,ZW,2022-10-16 23:55:12,-17.6203,27.3414,74.73,42,31,4.07
214,Bereda,ES,2022-10-16 23:55:13,43.2686,-7.5406,56.41,100,100,2.24
215,Natal,BR,2022-10-16 23:51:16,-5.795,-35.2094,77.65,83,20,11.5
216,Akrata,GR,2022-10-16 23:55:13,38.15,22.3167,62.01,59,0,5.93
217,Lompoc,US,2022-10-16 23:50:18,34.6391,-120.4579,71.69,72,40,11.5
218,Fatwa,IN,2022-10-16 23:55:14,25.5167,85.3167,75.29,62,0,4.94
219,Ampanihy,MG,2022-10-16 23:55:14,-24.7,44.75,65.59,87,3,3.09
220,Mount Gambier,AU,2022-10-16 23:55:15,-37.8333,140.7667,55.63,59,73,4.29
221,Puerto Quijarro,BO,2022-10-16 23:55:15,-17.7833,-57.7667,77.61,67,56,4.43
222,Arcot,IN,2022-10-16 23:55:16,12.9,79.3333,74.23,94,67,1.5
223,Humaita,BR,2022-10-16 23:55:16,-7.5061,-63.0208,73.87,98,99,1.9
