,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
67,67,Hambantota,LK,6.1241,81.1185,81.03,76,100,16.31,overcast clouds,Bungalow 63
68,68,Atar,MR,20.5169,-13.0499,86.07,28,73,8.95,broken clouds,Oumou Elghoura
69,69,Edea,CM,3.8,10.1333,73.65,99,100,1.05,light rain,Micotel Hotel
70,70,Puerto Leguizamo,CO,-0.1934,-74.7819,68.94,95,99,0.51,overcast clouds,la casona de juancho
71,71,Rafai,CF,4.95,23.9167,67.01,99,100,1.97,moderate rain,
73,73,Leticia,CO,-4.2153,-69.9406,69.85,100,75,0.0,broken clouds,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
74,74,Souillac,MU,-20.5167,57.5167,73.78,73,40,5.75,light rain,Shanti Maurice Resort & Spa
75,75,Aquin,HT,18.2833,-73.4,77.27,84,4,3.2,clear sky,Asheev Beach
76,76,Jutai,BR,-5.1833,-68.9,71.47,99,86,1.66,overcast clouds,
80,80,Yei,SS,4.095,30.6779,66.76,97,100,2.73,light rain,Twins Hotel Yei
81,81,Mogadishu,SO,2.0371,45.3438,79.41,78,57,11.54,broken clouds,Hotel Juba
83,83,Jizan,SA,17.3333,42.6667,86.94,50,0,1.79,clear sky,شهدان. ابوالحجر
84,84,Porto Walter,BR,-8.2686,-72.7439,71.38,98,100,2.15,overcast clouds,Hotel Silva
86,86,Busselton,AU,-33.65,115.3333,65.7,51,63,10.02,broken clouds,Observatory Guest House
88,88,Salamiyah,SY,35.0113,37.0532,70.45,50,1,1.66,clear sky,Gondolas Forum grandchildren and grandparents
89,89,Saint-Joseph,RE,-21.3667,55.6167,75.58,71,9,10.49,clear sky,"""Plantation Bed and Breakfast"
90,90,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,83,20,4.61,few clouds,Hotel JM Puerto del Rosario
91,91,Guarapari,BR,-20.6667,-40.4975,67.89,88,46,6.13,scattered clouds,Hotel Porto do Sol
92,92,Kukuna,SL,9.4,-12.6667,72.19,98,99,1.83,light rain,
95,95,Bilma,NE,18.6853,12.9164,74.14,33,0,12.73,clear sky,Expeditions Ténére voyages
99,99,Georgetown,MY,5.4112,100.3354,89.53,71,20,5.75,few clouds,Cititel Penang
101,101,Palma,ES,39.5694,2.6502,69.21,87,20,5.75,few clouds,Hotel Saratoga
103,103,Marsh Harbour,BS,26.5412,-77.0636,79.23,67,2,12.55,clear sky,Abaco Beach Resort
104,104,Birao,CF,10.2849,22.7882,71.29,71,98,4.07,overcast clouds,
105,105,Sokoni,TZ,-6.4333,39.55,76.71,79,30,8.12,scattered clouds,Ujamaa Beach Resort
106,106,Jibuti,DJ,11.5,42.5,79.5,58,15,18.81,few clouds,Orchid Main Camp Goubet
108,108,Boda,CF,4.3189,17.4695,66.33,93,99,1.52,overcast clouds,
111,111,Sur,OM,22.5667,59.5289,84.56,31,78,6.06,broken clouds,Sur Plaza Hotel
112,112,Touros,BR,-5.1989,-35.4608,76.71,81,95,14.61,overcast clouds,INN NEW HORIZON
113,113,Inhambane,MZ,-23.865,35.3833,78.78,78,40,4.61,scattered clouds,Oceano
114,114,Barcelos,PT,41.5388,-8.6151,65.91,89,99,5.48,overcast clouds,Hotel Do Terço
117,117,Mahibadhoo,MV,3.7833,72.9667,81.57,76,100,18.43,overcast clouds,Omadhoo Inn
118,118,Shahapur,IN,19.45,73.3333,82.8,75,86,3.6,overcast clouds,OYO 68690 Hotel New Food Hub
119,119,Loiza,PR,18.4313,-65.8802,80.58,83,20,0.0,few clouds,Vacation Realty
120,120,Mandera,KE,3.9366,41.867,79.38,66,96,11.88,overcast clouds,Red Sea Resort & Suites Mandera County
121,121,Quatre Cocos,MU,-20.2078,57.7625,73.51,76,87,14.14,light rain,Sunrise Attitude Hotel
122,122,Cockburn Town,TC,21.4612,-71.1419,81.09,75,21,8.08,few clouds,Osprey Beach Hotel
129,129,Ponta Do Sol,PT,32.6667,-17.1,70.72,70,60,5.26,broken clouds,Hotel do Campo
131,131,Omboue,GA,-1.5746,9.2618,74.16,95,37,3.94,scattered clouds,Hotel Olako
132,132,Dharan,NP,26.8125,87.2835,81.41,47,0,3.53,clear sky,Hotel Kanchanjunga
133,133,Robertsport,LR,6.7533,-11.3686,76.17,86,94,4.0,overcast clouds,Kwepunha Retreat
134,134,San Andres,CO,12.5847,-81.7006,82.42,78,40,6.91,scattered clouds,Hotel Arena Blanca
135,135,Planaltina,BR,-15.4528,-47.6142,66.74,42,7,4.12,clear sky,Afrodite Motel Planaltina GO
137,137,Marabba,SD,12.35,32.1833,81.61,62,54,9.42,broken clouds,
139,139,Bara,NG,10.3744,10.7288,71.22,77,37,4.23,scattered clouds,
142,142,Saint-Philippe,RE,-21.3585,55.7679,76.59,77,12,9.71,few clouds,Le four à pain
143,143,Barra Do Garcas,BR,-15.89,-52.2567,75.7,31,3,0.72,clear sky,Pousada Tropical
144,144,Namibe,AO,-15.1961,12.1522,67.87,85,95,6.2,overcast clouds,Hotel Chik Chik Namibe
145,145,Dingle,PH,10.9995,122.6711,85.59,72,89,11.74,overcast clouds,SEGAYA PROPERTY
146,146,Shihezi,CN,44.3,86.0333,65.39,15,31,5.5,scattered clouds,Home Inn Shihezi Dongwu Road Century Square
147,147,Bandarbeyla,SO,9.4942,50.8122,79.54,74,6,2.77,clear sky,JABIR HOTEL
148,148,Misratah,LY,32.3754,15.0925,71.98,62,77,6.91,broken clouds,Almasa Hotel
149,149,Mopipi,BW,-21.1833,24.8833,72.25,49,97,15.59,overcast clouds,
150,150,Morros,BR,-9.4467,-46.3003,76.71,35,34,3.58,scattered clouds,
152,152,Belmonte,BR,-15.8631,-38.8828,71.29,89,20,3.44,few clouds,Pousada Monte Carmelo O Pão
155,155,Port Said,EG,31.2565,32.2841,71.58,83,0,16.11,clear sky,Aracan Hotel
157,157,Lardos,GR,36.0942,28.0157,72.95,71,14,5.57,few clouds,Lindos Princess Beach Hotel
159,159,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,40,5.75,light rain,Casa Tia Villa
162,162,Axim,GH,4.8699,-2.2405,75.4,88,75,1.79,light rain,Axim Beach Resort And Spa
164,164,Muisne,EC,0.6,-80.0333,73.29,85,100,9.04,overcast clouds,Quinta Samay
165,165,Novita,CO,4.9551,-76.6053,73.6,99,100,1.57,overcast clouds,B/ Buenos Aires Sector Las Curvitas
169,169,Caravelas,BR,-17.7125,-39.2481,73.53,82,72,6.44,broken clouds,Pousada dos Navegantes
170,170,Nalut,LY,30.3333,10.85,65.68,59,77,9.26,broken clouds,
176,176,Conceicao Do Araguaia,BR,-8.2578,-49.2647,76.33,59,30,4.63,scattered clouds,Tarumã Tropical Hotel
177,177,Morant Bay,JM,17.8815,-76.4093,82.02,80,0,5.55,clear sky,Whispering Bamboo Cove Resort
180,180,Gamba,GA,-2.65,10.0,74.34,94,86,4.29,overcast clouds,
181,181,Abu Samrah,SY,35.3029,37.1841,70.48,43,0,3.36,clear sky,
182,182,Chiredzi,ZW,-21.05,31.6667,71.74,73,54,11.99,broken clouds,Clevers Hotel Chiredzi
184,184,Alibag,IN,18.6411,72.8792,89.67,70,82,5.39,broken clouds,"Radisson Blu Resort & Spa - Alibaug, India"
185,185,Arraial Do Cabo,BR,-22.9661,-42.0278,70.23,90,99,21.03,overcast clouds,Pousada Porto Praia
186,186,Rocky Mount,US,35.9382,-77.7905,67.78,68,100,5.75,overcast clouds,Days Inn & Suites by Wyndham Rocky Mount Golden East
187,187,Mabaruma,GY,8.2,-59.7833,73.33,98,96,1.7,overcast clouds,Monty Brooms Guest House
188,188,Manakara,MG,-22.1333,48.0167,74.16,66,2,6.13,clear sky,La Residence Manakara
189,189,Abu Kamal,SY,34.4506,40.9171,81.28,18,94,4.68,overcast clouds,البوكمال
190,190,Yenagoa,NG,4.9247,6.2642,73.53,91,98,1.32,overcast clouds,Aridolf Resort Wellness and Spa
191,191,Tessalit,ML,20.1986,1.0114,78.33,19,8,12.59,clear sky,
192,192,Cascais,PT,38.6979,-9.4215,67.51,89,59,11.99,broken clouds,Hotel Vila Galé Cascais
193,193,Ati,TD,13.2154,18.3353,83.12,21,65,6.55,broken clouds,
197,197,Tabou,CI,4.423,-7.3528,74.82,89,71,3.18,broken clouds,hotêl doufoulougou
198,198,Warnes,BO,-17.5,-63.1667,75.69,78,75,3.44,broken clouds,Tokame Motel
202,202,Pirgos,GR,35.1167,25.7178,66.61,71,49,22.55,scattered clouds,Elpida Village
209,209,Porto Novo,BJ,6.4965,2.6036,78.62,88,99,1.32,overcast clouds,Tour Eiffel Hotel Benin
211,211,Mossendjo,CG,-2.9506,12.7261,67.69,100,64,1.77,broken clouds,HOTEL D'ASSISE
214,214,Kalengwa,ZM,-13.4659,25.0027,66.27,32,6,5.23,clear sky,
215,215,Mahajanga,MG,-15.7167,46.3167,84.22,54,40,8.05,scattered clouds,Hôtel Restaurant Gourmand Coco Lodge Majunga
216,216,Idah,NG,7.1065,6.7342,72.99,94,92,2.37,overcast clouds,Ubiga Hotel Idah
217,217,Macenta,GN,8.5435,-9.471,65.95,100,97,0.54,overcast clouds,Hôtel Yansané
218,218,Kudahuvadhoo,MV,2.6708,72.8944,81.14,72,100,16.87,overcast clouds,Niyama Private Islands Maldives
221,221,Iralaya,HN,15.0,-83.2333,79.21,80,89,6.22,overcast clouds,Iglesia morava renovada
223,223,Yangambi,CD,0.8102,24.4336,68.86,95,99,0.83,overcast clouds,
224,224,Gazojak,TM,41.1875,61.4036,66.96,39,51,14.09,broken clouds,
225,225,Kavaratti,IN,10.5669,72.642,81.37,74,96,0.4,overcast clouds,Green leaf
228,228,Touba,CI,8.2833,-7.6833,67.6,97,45,2.42,scattered clouds,Hotel de L'Amitié Vraie
230,230,Mayumba,GA,-3.432,10.6554,75.36,90,99,3.76,overcast clouds,LIKWALE LODGE
233,233,Seidu,SL,9.0167,-10.6,66.74,99,99,0.25,overcast clouds,
234,234,Labrea,BR,-7.2586,-64.7981,72.72,99,99,1.68,light rain,Hotel Novo Horizonte
239,239,Prado,BR,-17.3411,-39.2208,71.71,88,55,5.86,broken clouds,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
240,240,Jardim,BR,-21.4803,-56.1381,69.71,95,44,3.29,scattered clouds,Estancia Hotel - Jardim MS
241,241,Upata,VE,8.0086,-62.3989,75.2,96,56,3.06,broken clouds,Posada Villa Nela
242,242,Lagos,NG,6.5833,3.75,77.32,95,100,2.21,overcast clouds,
243,243,Marovoay,MG,-16.1,46.6333,80.44,51,0,7.23,clear sky,Hôtel les Oliviers Marovoay
247,247,Durban,ZA,-29.8579,31.0292,67.93,95,83,10.45,broken clouds,Hilton Durban
248,248,Kintampo,GH,8.0563,-1.7306,71.67,84,9,2.26,clear sky,Adomaa Memorial Hotel
249,249,Sakakah,SA,29.9697,40.2064,72.97,18,8,5.23,clear sky,Fakhamat Al Orjoana Apartment
251,251,Angoche,MZ,-16.2325,39.9086,78.15,68,0,0.51,clear sky,Guest House HESADA
252,252,Rawah,IQ,34.4816,41.9093,79.25,18,54,8.08,broken clouds,عمر
254,254,Chake Chake,TZ,-5.2459,39.7666,78.42,74,60,8.55,broken clouds,Pemba Sea View Hotel
255,255,Carutapera,BR,-1.195,-46.02,78.71,80,6,7.99,clear sky,Lidera
