City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Yenagoa,NG,4.9247,6.2642,73.53,91,98,1.32,overcast clouds
191,Tessalit,ML,20.1986,1.0114,78.33,19,8,12.59,clear sky
192,Cascais,PT,38.6979,-9.4215,67.51,89,59,11.99,broken clouds
193,Ati,TD,13.2154,18.3353,83.12,21,65,6.55,broken clouds
194,Clyde River,CA,70.4692,-68.5914,28.63,100,100,14.97,light snow
195,Bonavista,CA,48.6499,-53.1147,52.21,86,100,21.68,overcast clouds
196,Roald,NO,62.5833,6.1333,49.33,93,75,9.22,light intensity drizzle rain
197,Tabou,CI,4.423,-7.3528,74.82,89,71,3.18,broken clouds
198,Warnes,BO,-17.5,-63.1667,75.69,78,75,3.44,broken clouds
199,Paamiut,GL,61.994,-49.6678,36.23,66,100,10.98,overcast clouds
200,Shubarkuduk,KZ,49.1447,56.4872,47.46,52,27,2.98,scattered clouds
201,Dobryanka,RU,58.4619,56.4165,41.72,87,99,5.5,overcast clouds
202,Pirgos,GR,35.1167,25.7178,66.61,71,49,22.55,scattered clouds
203,Kotelnikovo,RU,47.6317,43.1461,43.59,60,3,9.78,clear sky
204,Hofn,IS,64.2539,-15.2082,41.29,80,16,11.83,few clouds
205,Vestmannaeyjar,IS,63.4427,-20.2734,43.03,66,7,1.07,clear sky
206,Torquay,GB,50.4638,-3.5143,58.59,93,99,5.01,overcast clouds
207,Polistena,IT,38.406,16.08,64.0,77,0,2.37,clear sky
208,Krasnoarmeysk,RU,51.0239,45.6969,39.79,66,2,3.67,clear sky
209,Porto Novo,BJ,6.4965,2.6036,78.62,88,99,1.32,overcast clouds
210,Dvorichna,UA,49.8496,37.6857,39.11,74,1,4.97,clear sky
211,Mossendjo,CG,-2.9506,12.7261,67.69,100,64,1.77,broken clouds
212,Grindavik,IS,63.8424,-22.4338,36.07,87,0,17.27,clear sky
213,Leua,SK,48.2156,18.6071,54.5,67,24,5.75,few clouds
214,Kalengwa,ZM,-13.4659,25.0027,66.27,32,6,5.23,clear sky
215,Mahajanga,MG,-15.7167,46.3167,84.22,54,40,8.05,scattered clouds
216,Idah,NG,7.1065,6.7342,72.99,94,92,2.37,overcast clouds
217,Macenta,GN,8.5435,-9.471,65.95,100,97,0.54,overcast clouds
218,Kudahuvadhoo,MV,2.6708,72.8944,81.14,72,100,16.87,overcast clouds
219,Krasnovishersk,RU,60.4078,57.082,41.81,92,100,4.63,overcast clouds
220,Marinette,US,45.1,-87.6307,39.65,93,100,12.66,light rain
221,Iralaya,HN,15.0,-83.2333,79.21,80,89,6.22,overcast clouds
222,Lapus,RO,47.5,24.0167,36.75,84,12,2.84,few clouds
223,Yangambi,CD,0.8102,24.4336,68.86,95,99,0.83,overcast clouds
224,Gazojak,TM,41.1875,61.4036,66.96,39,51,14.09,broken clouds
225,Kavaratti,IN,10.5669,72.642,81.37,74,96,0.4,overcast clouds
226,Marrakesh,MA,31.6315,-8.0083,62.67,77,40,2.3,scattered clouds
227,Tromso,NO,69.6496,18.957,41.02,93,75,11.5,light rain
228,Touba,CI,8.2833,-7.6833,67.6,97,45,2.42,scattered clouds
229,Kiruna,SE,67.8557,20.2251,34.72,87,100,6.91,overcast clouds
230,Mayumba,GA,-3.432,10.6554,75.36,90,99,3.76,overcast clouds
231,Verkhnyaya Inta,RU,65.9811,60.3094,40.28,90,100,11.81,overcast clouds
232,Nanortalik,GL,60.1432,-45.2371,34.66,70,38,9.31,scattered clouds
233,Seidu,SL,9.0167,-10.6,66.74,99,99,0.25,overcast clouds
234,Labrea,BR,-7.2586,-64.7981,72.72,99,99,1.68,light rain
235,Chipinge,ZW,-20.1883,32.6236,64.04,70,30,6.85,scattered clouds
236,Tivoli,IT,41.9609,12.7989,59.83,87,0,5.75,clear sky
237,Leh,IN,34.1667,77.5833,43.63,25,0,1.3,clear sky
238,Husavik,IS,66.0449,-17.3389,36.46,94,100,0.69,overcast clouds
239,Prado,BR,-17.3411,-39.2208,71.71,88,55,5.86,broken clouds
240,Jardim,BR,-21.4803,-56.1381,69.71,95,44,3.29,scattered clouds
241,Upata,VE,8.0086,-62.3989,75.2,96,56,3.06,broken clouds
242,Lagos,NG,6.5833,3.75,77.32,95,100,2.21,overcast clouds
243,Marovoay,MG,-16.1,46.6333,80.44,51,0,7.23,clear sky
244,Beyneu,KZ,45.3167,55.2,53.37,44,89,6.24,overcast clouds
245,Vriezenveen,NL,52.4083,6.6222,59.09,94,100,11.1,overcast clouds
246,Port-Cartier,CA,50.0334,-66.8654,48.42,93,99,3.11,overcast clouds
247,Durban,ZA,-29.8579,31.0292,67.93,95,83,10.45,broken clouds
248,Kintampo,GH,8.0563,-1.7306,71.67,84,9,2.26,clear sky
249,Sakakah,SA,29.9697,40.2064,72.97,18,8,5.23,clear sky
250,Alghero,IT,40.5589,8.3181,60.89,100,0,4.61,clear sky
251,Angoche,MZ,-16.2325,39.9086,78.15,68,0,0.51,clear sky
252,Rawah,IQ,34.4816,41.9093,79.25,18,54,8.08,broken clouds
253,Rusape,ZW,-18.5278,32.1284,63.34,63,41,5.55,scattered clouds
254,Chake Chake,TZ,-5.2459,39.7666,78.42,74,60,8.55,broken clouds
255,Carutapera,BR,-1.195,-46.02,78.71,80,6,7.99,clear sky
256,Hun,LY,29.1268,15.9477,62.19,77,64,4.12,broken clouds
257,Barreirinhas,BR,-2.7469,-42.8264,78.22,81,1,10.38,clear sky
258,Zapolyarnyy,RU,69.4154,30.8136,41.5,97,100,2.91,overcast clouds
259,Staroaleyskoye,RU,51.0061,82.0,53.37,58,99,9.84,overcast clouds
260,Akdepe,TM,42.0551,59.3788,64.49,49,50,16.35,scattered clouds
261,Kidal,ML,18.4411,1.4078,77.95,18,22,11.7,few clouds
262,Panaba,MX,21.2833,-88.2667,75.04,94,4,5.82,clear sky
263,Santa Maria,BR,-29.6842,-53.8069,52.59,97,1,2.1,clear sky
264,East Retford,GB,53.3221,-0.9432,59.59,90,20,9.22,few clouds
265,Sainte-Marie,RE,-20.8968,55.5496,78.93,61,75,19.57,broken clouds
266,Kabalo,CD,-6.05,26.9167,70.54,91,100,2.89,overcast clouds
267,Saint-Georges,GD,12.0564,-61.7485,78.48,89,20,9.22,few clouds
268,Bouna,CI,9.2667,-3.0,71.28,86,23,2.66,few clouds
269,Rognan,NO,67.0953,15.3878,44.74,73,93,6.46,overcast clouds
270,Kirkwall,GB,58.9848,-2.9587,50.05,81,40,8.05,moderate rain
271,Takoradi,GH,4.8845,-1.7554,75.38,89,69,2.84,light rain
272,Rincon,US,32.296,-81.2354,72.86,93,0,4.61,clear sky
273,Turukhansk,RU,65.8167,87.9833,33.37,72,100,6.53,overcast clouds
274,Sao Paulo Do Potengi,BR,-5.895,-35.7628,75.31,89,81,8.84,broken clouds
275,Jagodina,RS,43.9814,21.2622,46.87,73,19,5.77,few clouds
276,Mangrol,IN,21.1167,70.1167,85.89,43,17,12.19,few clouds
277,Grand Gaube,MU,-20.0064,57.6608,73.8,79,87,5.99,light rain
278,Mint Hill,US,35.1796,-80.6473,65.8,70,75,8.05,broken clouds
279,Reconquista,AR,-29.15,-59.65,58.15,76,8,10.31,clear sky
280,Boa Vista,BR,2.8197,-60.6733,78.78,78,40,1.14,scattered clouds
281,Arlit,NE,18.7369,7.3853,80.51,21,0,15.57,clear sky
282,Doha,QA,25.2867,51.5333,87.78,62,0,5.75,clear sky
283,Westfield,US,42.1251,-72.7495,51.01,95,100,1.99,overcast clouds
284,Adrar,MR,20.5022,-10.0711,84.85,22,8,2.46,clear sky
285,Le Port,RE,-20.9373,55.2919,78.76,55,30,1.59,scattered clouds
286,Korla,CN,41.7597,86.1469,64.29,17,5,6.8,clear sky
287,Hamilton,US,39.1834,-84.5333,53.73,56,75,10.36,broken clouds
288,Alindao,CF,5.0267,21.2088,69.19,98,99,1.74,moderate rain
289,Walvis Bay,NA,-22.9575,14.5053,61.75,82,17,6.91,few clouds
290,Belyy Yar,RU,53.6039,91.3903,33.69,75,0,2.24,clear sky
291,Laguna,US,38.421,-121.4238,62.58,75,0,8.05,clear sky
292,Mwene-Ditu,CD,-7.0,23.45,66.36,95,100,1.59,overcast clouds
293,Antofagasta,CL,-23.65,-70.4,58.28,69,36,3.29,scattered clouds
294,Macapa,BR,0.0389,-51.0664,77.07,90,100,7.65,overcast clouds
295,Boende,CD,-0.2167,20.8667,69.46,98,100,2.37,overcast clouds
296,Sherbakul,RU,54.6316,72.3963,43.66,77,49,13.31,scattered clouds
297,Pombas,CV,17.1503,-25.0201,73.18,71,58,8.34,broken clouds
298,Paramonga,PE,-10.6667,-77.8333,61.27,86,87,6.29,overcast clouds
299,Mehamn,NO,71.0357,27.8492,44.55,87,75,10.36,broken clouds
300,Bubaque,GW,11.2833,-15.8333,80.49,75,98,8.63,overcast clouds
301,Hammerfest,NO,70.6634,23.6821,43.25,93,75,8.05,light rain
302,Nizwa,OM,22.9333,57.5333,84.6,16,100,0.49,overcast clouds
303,Bela Vista De Goias,BR,-16.9728,-48.9533,72.75,42,1,7.09,clear sky
304,Betsiamites,CA,48.9413,-68.646,44.69,76,95,4.47,overcast clouds
305,Kharan,PK,28.5833,65.4167,81.21,7,0,2.75,clear sky
306,Portree,GB,57.4129,-6.1942,44.53,88,98,8.81,overcast clouds
307,Rivadavia,AR,-33.1905,-68.4608,64.0,52,11,5.93,few clouds
308,Bayji,IQ,34.9311,43.487,82.54,15,68,5.53,broken clouds
309,Hargeysa,SO,9.56,44.065,68.04,71,16,7.0,few clouds
310,Hakkari,TR,37.5833,44.1667,55.18,47,20,2.3,few clouds
311,Baghdad,IQ,33.3406,44.4009,76.91,31,84,3.44,broken clouds
312,Kumluca,TR,36.3703,30.2869,70.38,60,66,7.45,broken clouds
313,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.42,84,39,5.03,scattered clouds
314,Garowe,SO,8.4054,48.4845,77.76,67,43,8.7,light rain
315,Radviliskis,LT,55.8167,23.5333,50.05,87,0,10.36,clear sky
316,Pinheiro Machado,BR,-31.5783,-53.3811,54.05,98,100,4.7,overcast clouds
317,Carnarvon,AU,-24.8667,113.6333,70.75,53,13,19.86,few clouds
318,Pitea,SE,65.3172,21.4794,32.09,89,23,5.23,few clouds
319,Otradnaya,RU,44.3933,41.5206,51.49,91,100,8.66,overcast clouds
320,Raudeberg,NO,61.9875,5.1352,48.87,1,40,22.28,scattered clouds
321,Saint-Paul,RE,-21.0096,55.2707,78.89,63,37,1.23,scattered clouds
322,Damietta,EG,31.4165,31.8133,71.49,73,0,13.11,clear sky
323,Elliot Lake,CA,46.3834,-82.6331,39.31,92,100,2.77,overcast clouds
324,Pamplona,ES,42.8169,-1.6432,65.46,90,20,4.0,light intensity shower rain
325,Asfi,MA,32.2994,-9.2372,69.94,70,0,0.98,clear sky
326,Kasongo-Lunda,CD,-6.4667,16.8167,68.31,97,23,0.29,few clouds
327,Benicarlo,ES,40.4165,0.4271,67.89,83,73,4.09,broken clouds
328,Nicoya,CR,10.1483,-85.452,73.81,96,100,0.85,overcast clouds
329,Sioux Lookout,CA,50.1001,-91.917,24.87,93,100,11.5,mist
330,Ornskoldsvik,SE,63.2909,18.7153,38.35,93,100,13.8,overcast clouds
